Pathways	Compounds_of_pathway	Enzymes_of_pathway	Genes_of_pathway	Reactions_of_pathway	Reactants_of_pathway	Products_of_pathway	Ontology_parents_of_class
PWY-116	UDP // PROTON // CPD-12575 // Glucopyranose // CONIFERYL-ALCOHOL // WATER // CPD-1777	AT5G26310-MONOMER // AT5G66690-MONOMER // AT1G61810-MONOMER	AT5G26310 // AT5G66690 // AT1G61810	CONIFERIN-BETA-GLUCOSIDASE-RXN // 2.4.1.111-RXN	WATER // CPD-12575	Glucopyranose // PROTON // UDP	LIGNIN-SYN // PHENYLPROPANOID-DERIVATIVE-DEG
PWY-6137	PROTON // Pi // ADP // CU+2 // ATP // WATER	AT4G33520-MONOMER // AT4G37270-MONOMER // MONOMER-14496 // MONOMER-14502 // AT5G44790-MONOMER // MONOMER-14503 // MONOMERQT-7906 // AT1G63440-MONOMER	AT4G33520 // AT4G37270 // G-11070 // G-11072 // AT5G44790 // G-11073 // AT5G21930 // AT1G63440	TRANS-RXN-178	ATP // WATER	ADP // Pi // PROTON	Transport-Pathways
PWY-5176	NADP // CPD-674 // OXYGEN-MOLECULE // NADPH // UDP // CPD-12575 // 2-COUMARATE // CPD-459 // Glucopyranose // CPD-7417 // WATER // COUMARIN // PROTON // CPD-7418	AT1G61820-MONOMER	AT1G61820	RXN-8037 // RXN-8036 // RXN-8035 // 2.4.1.114-RXN // TRANS-CINNAMATE-2-MONOOXYGENASE-RXN	CPD-12575 // CPD-674 // OXYGEN-MOLECULE // NADPH	COUMARIN // Glucopyranose // UDP // NADP	COUMARIN-SYN
PWY-7398	TYR // AMMONIUM // L-DIHYDROXY-PHENYLALANINE // SCOPOLETIN // CPD-13328 // ADENOSYL-HOMO-CYS // FERULOYL-COA // S-ADENOSYLMETHIONINE // P-COUMAROYL-COA // CPD-8186 // CPD-14010 // PPI // AMP // ATP // PROTON // FAD // WATER // CPD-676 // COUMARATE // FADH2 // CARBON-DIOXIDE // SUC // CAFFEOYL-COA // 2-KETOGLUTARATE // OXYGEN-MOLECULE // CO-A // CPD-8097 // CPD-18078	AT4G05160-MONOMER // AT3G13610-MONOMER // AT1G55290-MONOMER // AT3G61990-MONOMER // AT3G62000-MONOMER // AT4G26220-MONOMER // AT1G24735-MONOMER // AT1G67980-MONOMER // AT1G51680-MONOMER // AT3G21240-MONOMER // AT3G12900-MONOMER // AT5G12270-MONOMER	AT4G05160 // AT3G13610 // AT1G55290 // AT3G61990 // AT3G62000 // AT4G26220 // AT1G24735 // AT1G67980 // AT1G51680 // AT3G21240 // AT3G12900 // AT5G12270	RXN-16763 // RXN-16762 // RXN-14988 // RXN-1126 // RXN-12965 // RXN-12963 // CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN // RXN-12350 // RXN-12349 // RXN-14987 // RXN-14990 // 4-COUMARATE--COA-LIGASE-RXN // RXN-9697	2-KETOGLUTARATE // OXYGEN-MOLECULE // FADH2 // ATP // S-ADENOSYLMETHIONINE // TYR	CPD-8097 // SUC // CARBON-DIOXIDE // WATER // FAD // PROTON // AMP // PPI // CPD-8186 // ADENOSYL-HOMO-CYS // SCOPOLETIN // AMMONIUM	COUMARIN-SYN
PWY-282	Alkanes // Donor-H2 // LONG-CHAIN-KETONE // Secondary-Alcohols // Acceptor // CARBON-MONOXIDE // Very-Long-Chain-Alkanes // Very-Long-Chain-Aldehydes // PROTON // NADPH // VERY-LONG-CHAIN-FATTY-ACYL-COA // NADP // CO-A // VLC-alcohol-LC-acyl-ester // Very-Long-Chain-Alcohols // Long-Chain-Acyl-CoAs	AT1G57750-MONOMER // AT1G66030-MONOMER // AT4G39490-MONOMER // MONOMERQT-7715 // AT5G51900-MONOMER // AT5G02900-MONOMER // AT4G39510-MONOMER // MONOMERQT-8083 // AT4G39480-MONOMER // AT4G32170-MONOMER // AT2G23180-MONOMER // AT2G21910-MONOMER // AT1G65340-MONOMER // AT1G47620-MONOMER // AT1G02205-MONOMER // AT5G57800-MONOMER // AT1G02190-MONOMER // MONOMERQT-8956 // AT4G33790-MONOMER // AT5G37300-MONOMER	AT1G57750 // AT1G66030 // AT4G39490 // AT5G52320 // AT5G51900 // AT5G02900 // AT4G39510 // AT4G39500 // AT4G39480 // AT4G32170 // AT2G23180 // AT2G21910 // AT1G65340 // AT1G47620 // AT1G02205 // AT5G57800 // AT1G02190 // AT2G37700 // AT4G33790 // AT5G37300	RXNQT-4193 // RXNQT-4192 // RXN-1025 // RXN-1023 // RXN-1022 // RXN-1021	Long-Chain-Acyl-CoAs // VERY-LONG-CHAIN-FATTY-ACYL-COA // NADPH // PROTON // Acceptor // Alkanes	VLC-alcohol-LC-acyl-ester // CO-A // NADP // Very-Long-Chain-Alkanes // CARBON-MONOXIDE // LONG-CHAIN-KETONE // Donor-H2	EPIDERMAL-STRUCTURE // Lipid-Biosynthesis
PWY-321	CPD-17627 // CPD-10511 // Lipid-hydroxy-fatty-acids // A-LIPID-HYDROPEROXIDE // CPD-10514 // CPD-10515 // CPD-10512 // 91018-TRIHYDROXYSTEARATE // 910-EPOXY-18-HYDROXYSTEARATE // OLEATE-CPD // OLEOYL-COA // 18-HYDROXYOLEATE // NADPH // OCTADEC-9-ENE-118-DIOIC-ACID // 18-OXOOLEATE // NADP // PROTON // PALMITYL-COA // WATER // Ox-NADPH-Hemoprotein-Reductases // PALMITATE // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // AMP // PPI // CPD-17621 // 16-HYDROXYPALMITATE // CO-A // ATP	AT3G10570-MONOMER // AT1G64940-MONOMER // AT1G64950-MONOMER // AT5G61320-MONOMER // AT2G12190-MONOMER // AT1G12570-MONOMER // AT1G14185-MONOMER // AT1G72970-MONOMER // AT3G56060-MONOMER // AT5G51930-MONOMER // AT5G51950-MONOMER // CPLX-7073 // AT4G00520-MONOMER // MONOMERQT-9727 // AT1G52191-MONOMER // AT2G29590-MONOMER // AT3G16175-MONOMER // AT3G61200-MONOMER // AT2G30720-MONOMER // AT5G48370-MONOMER // AT4G10030-MONOMER // AT3G52570-MONOMER // AT2G45970-MONOMER // AT2G27690-MONOMER // AT1G69500-MONOMER // AT4G00360-MONOMER // AT1G63710-MONOMER // AT1G01600-MONOMER // AT2G47245-MONOMER // AT3G16170-MONOMER // AT1G62940-MONOMER // AT5G27600-MONOMER // AT4G23850-MONOMER // AT4G11030-MONOMER // AT2G47240-MONOMER // AT2G04350-MONOMER // AT1G64400-MONOMER // AT1G49430-MONOMER // AT1G77590-MONOMER // AT3G05970-MONOMER	AT3G10570 // AT1G64940 // AT1G64950 // AT5G61320 // AT2G12190 // AT1G12570 // AT1G14185 // AT1G72970 // AT3G56060 // AT5G51930 // AT5G51950 // AT1G01710 // AT4G00520 // AT1G04290 // AT1G52191 // AT2G29590 // AT3G16175 // AT3G61200 // AT2G30720 // AT5G48370 // AT4G10030 // AT3G52570 // AT2G45970 // AT2G27690 // AT1G69500 // AT4G00360 // AT1G63710 // AT1G01600 // AT2G47245 // AT3G16170 // AT1G62940 // AT5G27600 // AT4G23850 // AT4G11030 // AT2G47240 // AT2G04350 // AT1G64400 // AT1G49430 // AT1G77590 // AT3G05970	RXN-16389 // RXN-16398 // PALMITOYL-COA-HYDROLASE-RXN // RXN-16417 // RXN-16416 // RXN-9666 // RXN-16400 // RXN-1065 // RXN-9802 // RXN-9807 // RXN-9806 // RXN-9805 // RXN-9804 // RXN-9803 // RXN-1064 // RXN-1062	ATP // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // PALMITYL-COA // OLEOYL-COA // A-LIPID-HYDROPEROXIDE	PPI // AMP // Ox-NADPH-Hemoprotein-Reductases // OCTADEC-9-ENE-118-DIOIC-ACID // 91018-TRIHYDROXYSTEARATE // Lipid-hydroxy-fatty-acids // CPD-10511 // CPD-17627	EPIDERMAL-STRUCTURE // Lipid-Biosynthesis
CYANCAT-PWY	AMMONIUM // CARBAMATE // CPD-69 // WATER // CARBON-DIOXIDE // HCO3 // PROTON	AT3G23490-MONOMER // CPLX-8304	AT3G23490	RXN0-5224 // R524-RXN // RXN0-5222	WATER // CPD-69	AMMONIUM	Detoxification // NITROGEN-DEG
P401-PWY	PROTON // CPD-603 // HS // CYS // HCN	AT3G61440-MONOMER // AT5G28020-MONOMER // AT3G04940-MONOMER	AT3G61440 // AT5G28020 // AT3G04940	L-3-CYANOALANINE-SYNTHASE-RXN	CYS // HCN	HS // CPD-603 // PROTON	Other-Degradation
ASPSYNII-PWY	HS // CYS // HCN // ASN // L-ASPARTATE // AMMONIUM // PROTON // WATER // CPD-603	AT3G61440-MONOMER // AT5G28020-MONOMER // AT3G04940-MONOMER // AT5G22300-MONOMER	AT3G61440 // AT5G28020 // AT3G04940 // AT5G22300	3.5.5.4-RXN // 3-CYANOALANINE-HYDRATASE-RXN // L-3-CYANOALANINE-SYNTHASE-RXN	WATER // CYS // HCN	AMMONIUM // L-ASPARTATE // ASN // HS	Cyanide-Detoxification
PWY-8028	CYCLOARTENOL // EPOXYSQUALENE	AT2G07050-MONOMER	AT2G07050	CYCLOARTENOL-SYNTHASE-RXN	EPOXYSQUALENE	CYCLOARTENOL	Sterol-Biosynthesis // TRITERPENOID-SYN
PWY-2902	CPD-4614 // CPD-4210 // CPD-4617 // CPD-332 // CPD-4620 // CPD-4441 // UDP // CPD-4621 // PROTON // CPD-12575 // CPD-4616	AT2G36790-MONOMER // AT5G05870-MONOMER // AT3G11340-MONOMER // AT3G53150-MONOMER // AT3G55710-MONOMER // AT5G05880-MONOMER // AT5G05890-MONOMER // AT5G05900-MONOMER // AT5G12890-MONOMER // AT1G22340-MONOMER // AT1G22360-MONOMER // AT1G22370-MONOMER // AT1G22380-MONOMER // AT1G78270-MONOMER // AT2G28080-MONOMER // AT2G36970-MONOMER // AT3G22250-MONOMER // AT3G53160-MONOMER // AT2G36760-MONOMER // AT2G36770-MONOMER // AT2G36780-MONOMER // AT1G22400-MONOMER // AT2G36800-MONOMER // AT2G36750-MONOMER	AT2G36790 // AT5G05870 // AT3G11340 // AT3G53150 // AT3G55710 // AT5G05880 // AT5G05890 // AT5G05900 // AT5G12890 // AT1G22340 // AT1G22360 // AT1G22370 // AT1G22380 // AT1G78270 // AT2G28080 // AT2G36970 // AT3G22250 // AT3G53160 // AT2G36760 // AT2G36770 // AT2G36780 // AT1G22400 // AT2G36800 // AT2G36750	RXN-4737 // RXN-4735 // RXN-4726 // RXN-4723	CPD-12575 // CPD-4616 // CPD-4441 // CPD-332 // CPD-4210	PROTON // CPD-4621 // UDP // CPD-4620 // CPD-4617 // CPD-4614	CYTOKININ-BIOSYNTHESIS // Metabolic-Clusters
PWY-2881	CPD-4612 // CPD-4210 // CPD-4615 // CPD-332 // CPD-4602 // CPD-4209 // CPD-4607 // CPD-4604 // CPD-4610 // CPD-4609 // CPD-4618 // CPD-4441 // UDP // CPD-4622 // PROTON // CPD-12575 // CPD-4614	AT5G05870-MONOMER // AT5G05860-MONOMER // AT3G55700-MONOMER	AT5G05870 // AT5G05860 // AT3G55700	RXN-4736 // RXN-4733 // RXN-4731 // RXN-4729 // RXN-4727 // RXN-4724 // RXN-4721	CPD-12575 // CPD-4614 // CPD-4441 // CPD-4609 // CPD-4604 // CPD-4209 // CPD-332 // CPD-4210	PROTON // CPD-4622 // UDP // CPD-4618 // CPD-4610 // CPD-4607 // CPD-4602 // CPD-4615 // CPD-4612	CYTOKININ-BIOSYNTHESIS // Metabolic-Clusters
PWY-2901	CPD-4613 // CPD-4210 // CPD-4616 // CPD-332 // CPD-4603 // CPD-4209 // CPD-4608 // CPD-4604 // CPD-4611 // CPD-4609 // UDP // CPD-4619 // PROTON // CPD-12575 // CPD-4441	AT5G05870-MONOMER // AT5G05860-MONOMER // AT3G55700-MONOMER	AT5G05870 // AT5G05860 // AT3G55700	RXN-4734 // RXN-4732 // RXN-4730 // RXN-4728 // RXN-4725 // RXN-4722	CPD-12575 // CPD-4441 // CPD-4609 // CPD-4604 // CPD-4209 // CPD-332 // CPD-4210	PROTON // CPD-4619 // UDP // CPD-4611 // CPD-4608 // CPD-4603 // CPD-4616 // CPD-4613	CYTOKININ-BIOSYNTHESIS // Metabolic-Clusters
PWY-2841	CPD-4209 // PRENAL // CPD-4207 // CPD-4210 // ADENINE // CPD-4482 // CPD-4441 // FADH2 // CPD-4483 // ADENOSINE // CPD-4208 // WATER // FAD // PROTON	AT2G19500-MONOMER // AT5G56970-MONOMER // AT1G75450-MONOMER // AT2G41510-MONOMER // AT3G63440-MONOMER	AT2G19500 // AT5G56970 // AT1G75450 // AT2G41510 // AT3G63440	RXN-4681 // RXN-4662 // RXN-4661 // RXN-4641 // RXN-4621	CPD-4208 // WATER // FAD // PROTON // CPD-4441 // CPD-4210 // CPD-4207 // CPD-4209	ADENOSINE // CPD-4483 // FADH2 // CPD-4482 // ADENINE // PRENAL	CYTOKININS-DEGRADATION // Metabolic-Clusters
PWY-6317	Phosphorylated-phosphoglucomutase // ALPHA-GLUCOSE-16-BISPHOSPHATE // Phosphoglucomutase // ADP // PROTON // ATP // GALACTOSE-1P // CPD-14553 // CPD-12575 // ALPHA-D-GALACTOSE // GALACTOSE // D-glucopyranose-6-phosphate // GLC-1-P	CPLXQT-16 // CPLXQT-17 // CPLXQT-19 // CPLXQT-20 // CPLXQT-21 // AT3G06580-MONOMER // CPLX-7084 // AT3G28530-MONOMER // AT1G23190-MONOMER // MONOMERQT-9318 // MONOMERQT-7942 // AT1G70820-MONOMER // AT5G51820-MONOMER	AT1G64440 // AT4G10960 // AT4G23920 // AT1G63180 // AT3G06580 // AT1G12780 // AT3G28530 // AT1G23190 // AT1G70730 // AT5G17530 // AT1G70820 // AT5G51820	PHOSPHOGLUCMUT-RXN // ALDOSE1EPIM-RXN // UDPGLUCEPIM-RXN // GALACTURIDYLYLTRANS-RXN // GALACTOKIN-RXN	GALACTOSE // ATP	D-glucopyranose-6-phosphate // PROTON // ADP	GALACTOSE-DEGRADATION
PWY-3821	ADP // ALPHA-D-GALACTOSE // ATP // PPI // PROTON // GALACTOSE-1P // UTP // CPD-14553 // CPD-12575	AT5G18200-MONOMER // AT5G52560-MONOMER // CPLXQT-16 // CPLXQT-17 // CPLXQT-19 // CPLXQT-20 // CPLXQT-21 // AT3G06580-MONOMER // CPLX-7084 // AT3G28530-MONOMER	AT5G18200 // AT5G52560 // AT1G64440 // AT4G10960 // AT4G23920 // AT1G63180 // AT3G06580 // AT1G12780 // AT3G28530	UDPGLUCEPIM-RXN // UTPHEXPURIDYLYLTRANS-RXN // GALACTOKIN-RXN	UTP // ALPHA-D-GALACTOSE // ATP	CPD-12575 // PPI // ADP	Detoxification
MANNCAT-PWY	FRUCTOSE-6P // CPD-15979	AT1G67070-MONOMER // AT3G02570-MONOMER	AT1G67070 // AT3G02570	MANNPISOM-RXN	CPD-15979	FRUCTOSE-6P	Sugars-And-Polysaccharides-Degradation
PWY-6364	ADP // PROTON // ATP // INOSITOL-1-3-4-TRIPHOSPHATE // Pi // INOSITOL-1-4-5-TRISPHOSPHATE // CPD-506 // WATER	AT1G34120-MONOMER // AT4G18010-MONOMER // AT1G05630-MONOMER // AT2G43900-MONOMER // AT2G31830-MONOMER	AT1G34120 // AT4G18010 // AT1G05630 // AT2G43900 // AT2G31830	3.1.3.62-RXN // RXN-8730 // 2.7.1.127-RXN	WATER // ATP	Pi // INOSITOL-1-3-4-TRIPHOSPHATE // PROTON // ADP	Cyclitols-Biosynthesis
PWY-6351	CPD-1108 // CMP // L-1-phosphatidyl-inositols // CDPDIACYLGLYCEROL // MYO-INOSITOL // ADP // 1-PHOSPHATIDYL-1D-MYO-INOSITOL-5-PHOSPHA // ATP // PROTON // INOSITOL-1-4-5-TRISPHOSPHATE // DIACYLGLYCEROL // PHOSPHATIDYL-MYO-INOSITOL-45-BISPHOSPHA // WATER	AT4G01190-MONOMER // AT3G56960-MONOMER // AT2G26420-MONOMER // AT3G09920-MONOMER // AT3G07960-MONOMER // AT2G41210-MONOMER // AT1G21980-MONOMER // AT1G10900-MONOMER // AT1G77740-MONOMER // AT1G60890-MONOMER // AT1G01460-MONOMER // AT4G17080-MONOMER // AT2G35170-MONOMER // AT1G77660-MONOMER // AT1G75010-MONOMER // MONOMERQT-9594 // AT1G49340-MONOMER // AT5G64070-MONOMER // AT5G09350-MONOMER // AT1G51040-MONOMER // MONOMERQT-7878 // MONOMERQT-8460 // AT3G43950-MONOMER // MONOMERQT-8863 // AT2G40850-MONOMER // MONOMERQT-9198 // AT1G67635-MONOMER // AT1G64460-MONOMER // MONOMERQT-9573 // AT1G27535-MONOMER // AT1G26270-MONOMER // MONOMERQT-9646 // CPLX-1505 // AT4G38570-MONOMER // CPLX-1425 // CPLX-1424 // MONOMER-17353 // AT3G47220-MONOMER // AT2G40116-MONOMER // AT5G58690-MONOMER // AT5G58700-MONOMER // AT4G38530-MONOMER // AT3G55940-MONOMER // AT5G58670-MONOMER // AT4G34930-MONOMER // MONOMERQT-8549 // MONOMERQT-8777 // AT1G13680-MONOMER	AT4G01190 // AT3G56960 // AT2G26420 // AT3G09920 // AT3G07960 // AT2G41210 // AT1G21980 // AT1G10900 // AT1G77740 // AT1G60890 // AT1G01460 // AT4G17080 // AT2G35170 // AT1G77660 // AT1G75010 // AT1G21920 // AT1G49340 // AT5G64070 // AT5G09350 // AT1G51040 // AT5G24240 // AT3G56600 // AT3G43950 // AT2G46500 // AT2G40850 // AT2G03890 // AT1G67635 // AT1G64460 // AT1G27570 // AT1G27535 // AT1G26270 // AT1G13640 // AT1G68000 // AT4G38570 // G-1102 // G-1101 // AT3G47220 // AT2G40116 // AT5G58690 // AT5G58700 // AT4G38530 // AT3G55940 // AT5G58670 // AT4G34930 // AT3G47290 // AT3G08510 // AT1G13680	3.1.4.11-RXN // 2.7.1.149-RXN // 2.7.8.11-RXN // 1-PHOSPHATIDYLINOSITOL-KINASE-RXN // 2.7.1.68-RXN	WATER // 1-PHOSPHATIDYL-1D-MYO-INOSITOL-5-PHOSPHA // ATP // CDPDIACYLGLYCEROL // MYO-INOSITOL	DIACYLGLYCEROL // INOSITOL-1-4-5-TRISPHOSPHATE // PROTON // ADP // CMP	Cyclitols-Biosynthesis
PWY-6363	INOSITOL-1-4-BISPHOSPHATE // INOSITOL-1-4-5-TRISPHOSPHATE // Pi // MYO-INOSITOL // D-MYO-INOSITOL-4-PHOSPHATE // WATER	AT5G09290-MONOMER // AT4G05090-MONOMER // AT5G63990-MONOMER // AT5G64000-MONOMER // AT5G63980-MONOMER // AT1G34120-MONOMER // AT2G43900-MONOMER // AT4G18010-MONOMER // AT1G05630-MONOMER // AT2G31830-MONOMER	AT5G09290 // AT4G05090 // AT5G63990 // AT5G64000 // AT5G63980 // AT1G34120 // AT2G43900 // AT4G18010 // AT1G05630 // AT2G31830	RXN-10952 // 3.1.3.56-RXN // 3.1.3.57-RXN	WATER // INOSITOL-1-4-5-TRISPHOSPHATE	MYO-INOSITOL // Pi	CYCLITOLS-DEG
PWY-6367	ADP // ATP // 1-PHOSPHATIDYL-1D-MYO-INOSITOL-35-BISPH // Pi // 1-PHOSPHATIDYL-1D-MYO-INOSITOL-5-PHOSPHA // PROTON // INOSITOL-1-4-5-TRISPHOSPHATE // DIACYLGLYCEROL // PHOSPHATIDYL-MYO-INOSITOL-45-BISPHOSPHA // WATER	AT3G10550-MONOMER // AT5G04540-MONOMER // CPLX-1425 // CPLX-1424 // MONOMER-17353 // AT3G47220-MONOMER // AT2G40116-MONOMER // AT5G58690-MONOMER // AT5G58700-MONOMER // AT4G38530-MONOMER // AT3G55940-MONOMER // AT5G58670-MONOMER // AT4G34930-MONOMER // MONOMERQT-8549 // MONOMERQT-8777 // AT1G13680-MONOMER	AT3G10550 // AT5G04540 // G-1102 // G-1101 // AT3G47220 // AT2G40116 // AT5G58690 // AT5G58700 // AT4G38530 // AT3G55940 // AT5G58670 // AT4G34930 // AT3G47290 // AT3G08510 // AT1G13680	3.1.4.11-RXN // RXN-9779 // RXN-10958 // 2.7.1.149-RXN	WATER // 1-PHOSPHATIDYL-1D-MYO-INOSITOL-35-BISPH // ATP	DIACYLGLYCEROL // INOSITOL-1-4-5-TRISPHOSPHATE // PROTON // Pi // ADP	Cyclitols-Biosynthesis // Phospholipid-Biosynthesis
PWY0-1535	D-SERINE // 2-AMINOACRYLATE // AMMONIUM // PYRUVATE // CPD-16015 // WATER	AT4G11640-MONOMER // MONOMERQT-8645	AT4G11640 // AT3G20390	RXN-15127 // RXN-15124 // RXN-15581	D-SERINE	PYRUVATE // AMMONIUM	D-Amino-Acid-Degradation
PWY-6196	SER // D-SERINE // 2-AMINOACRYLATE // AMMONIUM // PYRUVATE // CPD-16015 // WATER	AT4G11640-MONOMER // MONOMERQT-8645	AT4G11640 // AT3G20390	RXN-15127 // RXN-15124 // RXN-15581 // 5.1.1.18-RXN	SER	D-SERINE	D-Amino-Acid-Degradation // Other-Amino-Acid-Biosynthesis // Super-Pathways
PWY-4101	NADH // SORBITOL // NAD // CPD-15382 // ADP // FRUCTOSE-6P // PROTON // BETA-D-FRUCTOSE // ATP	AT5G51970-MONOMER // AT4G29130-MONOMER // AT1G47840-MONOMER // AT1G50460-MONOMER // AT3G20040-MONOMER // AT4G37840-MONOMER // AT3G54090-MONOMER // AT1G66430-MONOMER // AT1G69200-MONOMER // AT4G10260-MONOMER // AT1G06030-MONOMER // AT3G59480-MONOMER // AT2G31390-MONOMER // AT5G51830-MONOMER // AT1G50390-MONOMER // AT1G06020-MONOMER // AT1G47845-MONOMER	AT5G51970 // AT4G29130 // AT1G47840 // AT1G50460 // AT3G20040 // AT4G37840 // AT3G54090 // AT1G66430 // AT1G69200 // AT4G10260 // AT1G06030 // AT3G59480 // AT2G31390 // AT5G51830 // AT1G50390 // AT1G06020 // AT1G47845	FRUCTOKINASE-RXN // RXN-14515 // RXN-7644	ATP // SORBITOL // NAD	PROTON // FRUCTOSE-6P // ADP // NADH	SUGAR-ALCOHOLS-DEG
XYLCAT-PWY	ADP // XYLULOSE-5-PHOSPHATE // PROTON // ATP // D-XYLULOSE // D-Xylose	AT5G49650-MONOMER // AT5G57655-MONOMER	AT5G49650 // AT5G57655	XYLISOM-RXN // XYLULOKIN-RXN	D-Xylose // ATP	PROTON // XYLULOSE-5-PHOSPHATE // ADP	Xylose-Degradation
PWY-5946	CPD1F-115 // CPD1F-114	AT5G57030-MONOMER	AT5G57030	RXN1F-147	CPD1F-114	CPD1F-115	C40-Carotenoids-Biosynthesis
PWY-6786	BUTANAL // CPD-7600 // MEK // CPD-8847 // CPD-13220 // CPD-13218 // CPD-13223 // CPD-13222 // CPD-13228 // CPD-13229 // TRANS-2-HEXENAL // TRANS-2-HEXENOL // CIS-3-HEXENOL // CIS-3-HEXENAL // METHYL-GLYOXAL // ACETOL // CPD-665 // PROTON // NADPH // ACROLEIN // ALLYL-ALCOHOL // NADP	MONOMERQT-8825 // AT3G04000-MONOMER // AT1G54870-MONOMER // AT4G13180-MONOMER // AT3G03980-MONOMER // AT3G05260-MONOMER // MONOMERQT-7933 // AT1G23740-MONOMER // AT2G37770-MONOMER // AT5G62420-MONOMER // AT2G37790-MONOMER // AT3G53880-MONOMER	AT3G03350 // AT3G04000 // AT1G54870 // AT4G13180 // AT3G03980 // AT3G05260 // AT5G18210 // AT1G23740 // AT2G37770 // AT5G62420 // AT2G37790 // AT3G53880	ALLYL-ALCOHOL-DEHYDROGENASE-RXN // RXN-12281 // RXN0-4281 // RXN-12300 // RXN-12299 // RXN-12297 // RXN-12296 // RXN-12295 // RXN-12293 // RXN-12292	ACROLEIN // NADPH // PROTON // METHYL-GLYOXAL // CIS-3-HEXENAL // TRANS-2-HEXENAL // CPD-13228 // CPD-13222 // CPD-13218 // CPD-8847 // CPD-7600	ALLYL-ALCOHOL // NADP // CPD-665 // ACETOL // CIS-3-HEXENOL // TRANS-2-HEXENOL // CPD-13229 // CPD-13223 // CPD-13220 // MEK // BUTANAL	Metabolic-Clusters // Detoxification
TRIGLSYN-PWY	Pi // WATER // GLYCEROL-3P // CO-A // ACYL-COA // ACYL-SN-GLYCEROL-3P // 2-Lysophosphatidylcholines // PHOSPHATIDYLCHOLINE // CPD-409 // Triacylglycerols // PROTON // L-PHOSPHATIDATE // CDP // CTP // DIACYLGLYCEROL	MONOMER-AT1G15080 // MONOMER-AT3G09560 // MONOMER-AT5G42870 // MONOMER-AT3G50920 // MONOMER-AT5G03080 // MONOMER-AT5G66450 // MONOMER-AT2G01180 // AT3G18220-MONOMER // AT3G58490-MONOMER // AT4G22550-MONOMER // AT3G02600-MONOMER // CPLX-1821 // AT3G51520-MONOMER // AT5G53390-MONOMER // AT5G53380-MONOMER // MONOMERQT-7807 // MONOMERQT-7809 // MONOMERQT-7889 // MONOMERQT-7946 // MONOMERQT-7987 // MONOMERQT-8513 // AT3G49200-MONOMER // AT3G49190-MONOMER // AT3G26840-MONOMER // MONOMERQT-8590 // MONOMERQT-8906 // MONOMERQT-8937 // MONOMERQT-9313 // AT1G54570-MONOMER // AT1G48300-MONOMER // MONOMERQT-8836 // AT4G00400-MONOMER // AT3G11430-MONOMER // AT1G01610-MONOMER // AT1G06520-MONOMER // AT2G38110-MONOMER // AT5G06090-MONOMER // CPLX-1762 // AT5G60620-MONOMER // MONOMERQT-8376 // MONOMERQT-8733 // AT1G02390-MONOMER // AT4G30580-MONOMER // AT3G57650-MONOMER // AT1G51260-MONOMER // AT4G24160-MONOMER // AT3G18850-MONOMER // AT1G75020-MONOMER // MONOMERQT-9379 // AT3G44830-MONOMER // AT1G04010-MONOMER // AT5G13640-MONOMER	AT1G15080 // AT3G09560 // AT5G42870 // AT3G50920 // AT5G03080 // AT5G66450 // AT2G01180 // AT3G18220 // AT3G58490 // AT4G22550 // AT3G02600 // AT2G19450 // AT3G51520 // AT5G53390 // AT5G53380 // AT5G41130 // AT5G41120 // AT5G22490 // AT5G16350 // AT5G12420 // AT3G49210 // AT3G49200 // AT3G49190 // AT3G26840 // AT3G26820 // AT2G43255 // AT2G38995 // AT1G72110 // AT1G54570 // AT1G48300 // AT3G02030 // AT4G00400 // AT3G11430 // AT1G01610 // AT1G06520 // AT2G38110 // AT5G06090 // G-11896 // AT5G60620 // AT4G01950 // AT3G11325 // AT1G02390 // AT4G30580 // AT3G57650 // AT1G51260 // AT4G24160 // AT3G18850 // AT1G75020 // AT1G64670 // AT3G44830 // AT1G04010 // AT5G13640	RXN-12959 // RXN-12383 // RXN-1641 // RXN-1623 // RXN-1381 // DIACYLGLYCEROL-O-ACYLTRANSFERASE-RXN // PHOSPHATIDATE-PHOSPHATASE-RXN	CTP // PHOSPHATIDYLCHOLINE // ACYL-COA // GLYCEROL-3P // WATER	CDP // PROTON // Triacylglycerols // CPD-409 // 2-Lysophosphatidylcholines // CO-A // Pi	Lipid-Biosynthesis
PWY-6804	PROTON // CMP // CDP-CHOLINE // PHOSPHATIDYLCHOLINE // DIACYLGLYCEROL	AT3G15820-MONOMER // AT3G15830-MONOMER	AT3G15820 // AT3G15830	RXN-12386 // RXN-5781	CMP // PROTON	CDP-CHOLINE	Lipid-Biosynthesis
