Pathways	Compounds of pathway	Enzymes of pathway	Genes of pathway	Ontology - parents of class	Reactants of pathway	Reactions of pathway
ETHYL-PWY	PPI // Pi // ATP // MET // 5-METHYLTHIOADENOSINE // S-ADENOSYLMETHIONINE // CARBON-DIOXIDE // HCN // L-DEHYDRO-ASCORBATE // ETHYLENE-CMPD // WATER // PROTON // ASCORBATE // CPD-68 // OXYGEN-MOLECULE	ZM00001D024754-MONOMER // ZM00001D008175-MONOMER // MONOMERDQC-48610 // ZM00001D040697-MONOMER // MONOMERDQC-60732 // ZM00001D033862-MONOMER // MONOMERDQC-51242 // MONOMERDQC-53681 // ZM00001D039487-MONOMER // ZM00001D045479-MONOMER // ZM00001D024853-MONOMER // ZM00001D024865-MONOMER // ZM00001D024852-MONOMER // ZM00001D004719-MONOMER // ZM00001D011208-MONOMER // ZM00001D024843-MONOMER // ZM00001D042996-MONOMER // ZM00001D046848-MONOMER // ZM00001D024850-MONOMER // ZM00001D018211-MONOMER // ZM00001D020686-MONOMER // MONOMERDQC-53308 // ZM00001D052136-MONOMER // ZM00001D005927-MONOMER // ZM00001D015860-MONOMER // ZM00001D024851-MONOMER // ZM00001D004718-MONOMER // ZM00001D043503-MONOMER // ZM00001D036955-MONOMER // ZM00001D000163-MONOMER	ZM00001D024754 // ZM00001D008175 // ZM00001D010920 // ZM00001D040697 // ZM00001D009146 // ZM00001D033862 // ZM00001D026060 // ZM00001D002592 // ZM00001D039487 // ZM00001D045479 // ZM00001D024853 // ZM00001D024865 // ZM00001D024852 // ZM00001D004719 // ZM00001D011208 // ZM00001D024843 // ZM00001D042996 // ZM00001D046848 // ZM00001D024850 // ZM00001D018211 // ZM00001D020686 // ZM00001D014572 // ZM00001D052136 // ZM00001D005927 // ZM00001D015860 // ZM00001D024851 // ZM00001D004718 // ZM00001D043503 // ZM00001D036955 // ZM00001D000163	Ethylene-Biosynthesis	ASCORBATE // OXYGEN-MOLECULE // ATP // MET	ETHYL-RXN // 4.4.1.14-RXN // S-ADENMETSYN-RXN
PWY-5859	CO-A // CONIFERYL-ALCOHOL // ACETYL-COA // CPD-6481 // NADPH // CPD-9875 // ISOEUGENOL // ACET // NADP	ZM00001D023215-MONOMER // ZM00001D026268-MONOMER // ZM00001D045338-MONOMER // ZM00001D036197-MONOMER // ZM00001D002370-MONOMER // ZM00001D023216-MONOMER // ZM00001D009022-MONOMER // ZM00001D034357-MONOMER // ZEMACP053-MONOMER	ZM00001D023215 // ZM00001D026268 // ZM00001D045338 // ZM00001D036197 // ZM00001D002370 // ZM00001D023216 // ZM00001D009022 // ZM00001D034357 // ZEMACP053	CINNAMATE-SYN	NADPH // CONIFERYL-ALCOHOL // ACETYL-COA	RXN-9246 // RXN-9245 // RXN-9244
PWY-6498	CARBON-DIOXIDE // PROTON // Acceptor // WATER // OXYGEN-MOLECULE // Donor-H2 // L-DOPACHROME // CPD-12373 // CPD-12374 // 56-DIHYDROXYINDOLE-2-CARBOXYLATE // DIHYDROXYINDOLE // CPD-12379 // CPD-12378	ZM00001D014659-MONOMER // MONOMERDQC-54562	ZM00001D014659 // ZM00001D052321	Other-biosynthesis	L-DOPACHROME // OXYGEN-MOLECULE // Donor-H2 // PROTON	RXN-11444 // RXN-11408 // DOPACHROME-DELTA-ISOMERASE-RXN // RXN-11406 // RXN-11404 // RXN-11403
PWY-6577	HYDROGEN-PEROXIDE // CYS // CPD-12581 // OXYGEN-MOLECULE // WATER // CDP // FARNESYL-PP // CPD-12587 // CTP // 2-TRANS6-TRANS-FARNESAL // NADPH // PROTON // NADP // 2-TRANS6-TRANS-FARNESOL	MONOMERDQC-48594 // ZM00001D021352-MONOMER // MONOMERDQC-49954 // ZM00001D012459-MONOMER	ZM00001D026702 // ZM00001D021352 // ZM00001D052310 // ZM00001D012459	Detoxification // All-Trans-Farnesyl-PP-Biosynthesis	NADPH // CTP // CPD-12581 // OXYGEN-MOLECULE // WATER	FARNESOL-DEHYDROGENASE-RXN // RXN-11626 // RXN-11625 // RXN-11623
PWY-2501	CPD66-39 // OXYGEN-MOLECULE // CARBON-DIOXIDE // 2R-Hydroxy-Fatty-Acids // 2R-HYDROPEROXY-FATTY-ACIDS // PROTON // NADH // Fatty-Acids // Fatty-Aldehydes // NAD // WATER	ZM00001D010809-MONOMER // ZM00001D046636-MONOMER // ZM00001D042253-MONOMER // MONOMERDQC-52436 // ZM00001D035854-MONOMER // ZM00001D002509-MONOMER // MONOMERDQC-61455 // MONOMERDQC-61335 // ZM00001D008814-MONOMER // MONOMERDQC-58467 // MONOMERDQC-54173 // MONOMERDQC-50120 // ZM00001D050495-MONOMER // ZM00001D017418-MONOMER // ZM00001D036933-MONOMER // MONOMERDQC-47402 // ZM00001D023580-MONOMER // ZM00001D025417-MONOMER // ZM00001D048738-MONOMER // MONOMERDQC-51246	ZM00001D010809 // ZM00001D046636 // ZM00001D042253 // ZM00001D030674 // ZM00001D035854 // ZM00001D002509 // ZM00001D000116 // ZM00001D004731 // ZM00001D008814 // ZM00001D025958 // ZM00001D003983 // ZM00001D044339 // ZM00001D050495 // ZM00001D017418 // ZM00001D036933 // ZM00001D005818 // ZM00001D023580 // ZM00001D025417 // ZM00001D048738 // ZM00001D022554	Fatty-Acid-Degradation	NAD // CPD66-39 // OXYGEN-MOLECULE	RXN-4142 // RXN-4141 // RXN-4122 // RXN-4121
PWY-5136	AMP // PPI // CPD66-39 // ATP // WATER // PROTON // NADH // L-3-HYDROXYACYL-COA // NAD // CO-A // 3-KETOACYL-COA // ACETYL-COA // HYDROGEN-PEROXIDE // TRANS-D2-ENOYL-COA // Saturated-Fatty-Acyl-CoA // OXYGEN-MOLECULE	MONOMERDQC-57415 // MONOMERDQC-50316 // ZM00001D012590-MONOMER // MONOMERDQC-59892 // MONOMERDQC-60005 // MONOMERDQC-61088 // ZM00001D031930-MONOMER // MONOMERDQC-60929 // ZM00001D015989-MONOMER // ZM00001D009944-MONOMER // ZM00001D040753-MONOMER // MONOMERDQC-52036 // ZM00001D034316-MONOMER // MONOMERDQC-48894 // ZM00001D036640-MONOMER // ZM00001D049882-MONOMER // ZM00001D015874-MONOMER // ZM00001D012317-MONOMER // ZM00001D018581-MONOMER // MONOMERDQC-47732 // ZM00001D008401-MONOMER // MONOMERDQC-48587 // ZM00001D048788-MONOMER // ZM00001D052931-MONOMER // ZM00001D003744-MONOMER // MONOMERDQC-58025 // MONOMERDQC-58213 // ZM00001D029176-MONOMER // MONOMERDQC-60106 // ZM00001D050096-MONOMER // MONOMERDQC-61387	ZM00001D007726 // ZM00001D053308 // ZM00001D012590 // ZM00001D015992 // ZM00001D009182 // ZM00001D037939 // ZM00001D031930 // ZM00001D018487 // ZM00001D015989 // ZM00001D009944 // ZM00001D040753 // ZM00001D003312 // ZM00001D034316 // ZM00001D014093 // ZM00001D036640 // ZM00001D049882 // ZM00001D015874 // ZM00001D012317 // ZM00001D018581 // ZM00001D045251 // ZM00001D008401 // ZM00001D037521 // ZM00001D048788 // ZM00001D052931 // ZM00001D003744 // ZM00001D048890 // ZM00001D045606 // ZM00001D029176 // ZM00001D042884 // ZM00001D050096 // ZM00001D039768	Fatty-Acid-Degradation	OXYGEN-MOLECULE // CO-A // NAD // WATER // CPD66-39 // ATP	RXN-11026 // KETOACYLCOATHIOL-RXN // OHACYL-COA-DEHYDROG-RXN // ENOYL-COA-HYDRAT-RXN // ACYLCOASYN-RXN
PWY-5137	TRANS-D2-ENOYL-COA // CIS-DELTA3-ENOYL-COA	ZM00001D039408-MONOMER // MONOMERDQC-50316 // ZM00001D008892-MONOMER // ZM00001D038755-MONOMER // MONOMERDQC-59892 // MONOMERDQC-60005 // ZM00001D039741-MONOMER // MONOMERDQC-61088	ZM00001D039408 // ZM00001D053308 // ZM00001D008892 // ZM00001D038755 // ZM00001D015992 // ZM00001D009182 // ZM00001D039741 // ZM00001D037939	Fatty-Acid-Degradation	CIS-DELTA3-ENOYL-COA	ENOYL-COA-DELTA-ISOM-RXN
PWY-6837	HYDROGEN-PEROXIDE // cis-5-enoyl-CoA // OXYGEN-MOLECULE // trans-2-cis-5-dienoyl-CoA // trans-3-cis-5-dienoyl-CoA // NADP // TETRADEHYDROACYL-COA // NADPH // TRANS-D2-ENOYL-COA // Trans-3-enoyl-CoAs	ZM00001D011971-MONOMER // ZM00001D039408-MONOMER // MONOMERDQC-50316 // ZM00001D008892-MONOMER // ZM00001D038755-MONOMER // MONOMERDQC-59892 // MONOMERDQC-60005 // ZM00001D039741-MONOMER // MONOMERDQC-61088	ZM00001D011971 // ZM00001D039408 // ZM00001D053308 // ZM00001D008892 // ZM00001D038755 // ZM00001D015992 // ZM00001D009182 // ZM00001D039741 // ZM00001D037939	Fatty-Acid-Degradation	NADPH // cis-5-enoyl-CoA // OXYGEN-MOLECULE	RXN-7836 // RXN-12521 // RXN-12520 // RXN-12519 // RXN-12518
PWY-4381	ACP // CARBON-DIOXIDE // CO-A // Acetoacetyl-ACPs // MALONYL-ACP // PROTON // biotin-L-lysine-in-BCCP-dimers // MALONYL-COA // ACETYL-COA // carboxybiotin-L-lysine-in-BCCP-dimers	ZM00001D047706-MONOMER // MONOMERDQC-53914 // MONOMERDQC-44529 // MONOMERDQC-44959 // MONOMERDQC-57661	ZM00001D047706 // ZM00001D028787 // ZM00001D002103 // ZM00001D026429 // ZM00001D046808	Fatty-Acid-Biosyn-Initiation	ACETYL-COA // carboxybiotin-L-lysine-in-BCCP-dimers // PROTON // ACP	RXN0-5055 // 2.3.1.180-RXN // MALONYL-COA-ACP-TRANSACYL-RXN
FASYN-ELONG-PWY	WATER // NADH // TRANS-D2-ENOYL-ACP // NAD // NADPH // OH-ACYL-ACP // NADP // ACP // CARBON-DIOXIDE // B-KETOACYL-ACP // Saturated-Fatty-Acyl-ACPs // MALONYL-ACP // PROTON	ZM00001D037491-MONOMER // MONOMERDQC-52873 // MONOMERDQC-59861 // MONOMERDQC-50823 // MONOMERDQC-44242 // MONOMERDQC-44713 // ZM00001D030277-MONOMER // ZM00001D030275-MONOMER // ZM00001D030276-MONOMER // ZM00001D030591-MONOMER // MONOMERDQC-57604 // MONOMERDQC-47563 // ZM00001D031453-MONOMER // ZM00001D045543-MONOMER // MONOMERDQC-51207 // ZM00001D016834-MONOMER // ZM00001D046627-MONOMER // MONOMERDQC-53242 // ZM00001D036898-MONOMER // ZM00001D050775-MONOMER	ZM00001D037491 // ZM00001D010180 // ZM00001D049351 // ZM00001D049363 // ZM00001D049975 // ZM00001D019926 // ZM00001D030277 // ZM00001D030275 // ZM00001D030276 // ZM00001D030591 // ZM00001D031267 // ZM00001D025201 // ZM00001D031453 // ZM00001D045543 // ZM00001D004042 // ZM00001D016834 // ZM00001D046627 // ZM00001D016550 // ZM00001D036898 // ZM00001D050775	Fatty-acid-biosynthesis	MALONYL-ACP // PROTON // NADPH // NADH	3-OXOACYL-ACP-SYNTH-RXN // 3-OXOACYL-ACP-REDUCT-RXN // ENOYL-ACP-REDUCT-NADH-RXN // ENOYL-ACP-REDUCT-NADPH-RXN // 3-HYDROXYDECANOYL-ACP-DEHYDR-RXN
PWY-5937	Fe3-siderophores	MONOMER-14020 // ZM00001D008355-MONOMER // ZM00001D017429-MONOMER	G-10708 // ZM00001D008355 // ZM00001D017429	Transport-Pathways		TRANS-RXN-172
PWY-8001	CPD-21114 // 2-AMINOACRYLATE // AMMONIUM // PYRUVATE // CPD-16015 // GLY // CPD-21113 // GLT // CPD-21345 // CPD-21344 // WATER	MONOMERDQC-52241 // MONOMERDQC-56987 // MONOMERDQC-54530	ZM00001D021626 // ZM00001D003446 // ZM00001D008628	S-CONTAINING-SECONDARY-CMPD-SYN	CPD-21344 // WATER	RXN-19732 // RXN-19731 // RXN-15127 // RXN-15124 // RXN-19546
RIBOSYN2-PWY	ADP // FAD // FMN // ATP // RIBOFLAVIN // DIMETHYL-D-RIBITYL-LUMAZINE // Pi // AMINO-RIBOSYLAMINO-1H-3H-PYR-DIONE // DIHYDROXY-BUTANONE-P // RIBULOSE-5P // NADPH // CPD-1086 // NADP // AMMONIUM // CPD-602 // FORMATE // DIAMINO-OH-PHOSPHORIBOSYLAMINO-PYR // PPI // PROTON // WATER // GTP	MONOMERDQC-55883 // ZM00001D040380-MONOMER // MONOMERDQC-51474 // ZM00001D034493-MONOMER // ZM00001D040308-MONOMER // ZM00001D023863-MONOMER // ZM00001D023836-MONOMER // MONOMERDQC-52227 // MONOMERDQC-60674 // ZM00001D026148-MONOMER // ZM00001D005329-MONOMER // GDQC-114559-MONOMER // MONOMERDQC-54090 // GDQC-104819-MONOMER // MONOMERDQC-43554 // MONOMERDQC-43602 // MONOMERDQC-44980 // MONOMERDQC-44017 // ZM00001D010535-MONOMER // MONOMERDQC-47851	ZM00001D012707 // ZM00001D040380 // ZM00001D008320 // ZM00001D034493 // ZM00001D040308 // ZM00001D023863 // ZM00001D023836 // ZM00001D026476 // ZM00001D002034 // ZM00001D026148 // ZM00001D005329 // GDQC-114559 // ZM00001D016475 // GDQC-104819 // ZM00001D027367 // ZM00001D027369 // ZM00001D016595 // ZM00001D031254 // ZM00001D010535 // ZM00001D050844	Flavin-Biosynthesis	GTP // NADPH // RIBULOSE-5P // ATP	GTP-CYCLOHYDRO-II-RXN // RIBOFLAVINSYNDEAM-RXN // RIBOFLAVINSYNREDUC-RXN // DIOHBUTANONEPSYN-RXN // RIBOPHOSPHAT-RXN // LUMAZINESYN-RXN // RIBOFLAVIN-SYN-RXN // FADSYN-RXN // RIBOFLAVINKIN-RXN
PWY1F-FLAVSYN	PPI // AMP // COUMARATE // ATP // CPD-20012 // DIHYDROKAEMPFEROL-CMPD // SUC // NARINGENIN-CMPD // OXYGEN-MOLECULE // 2-KETOGLUTARATE // WATER // NADP // CARBON-DIOXIDE // CO-A // CPD-3041 // PROTON // P-COUMAROYL-COA // MALONYL-COA // NADPH	ZM00001D032107-MONOMER // ZM00001D011163-MONOMER // ZM00001D052096-MONOMER // MONOMERDQC-49533 // ZM00001D018660-MONOMER // MONOMERDQC-52267 // ZM00001D032103-MONOMER // ZM00001D027499-MONOMER // ZM00001D048446-MONOMER // MONOMERDQC-59943 // MONOMERDQC-60943 // ZM00001D032662-MONOMER // ZM00001D052676-MONOMER // ZM00001D040483-MONOMER // ZM00001D007403-MONOMER // MONOMERDQC-55677 // ZM00001D013991-MONOMER // ZM00001D052915-MONOMER // ZM00001D006630-MONOMER // ZM00001D044683-MONOMER // MONOMERDQC-50968 // MONOMERDQC-50672 // ZM00001D018278-MONOMER // MONOMERDQC-43097 // ZM00001D045141-MONOMER // ZM00001D052999-MONOMER // ZM00001D033327-MONOMER // ZM00001D026003-MONOMER // ZM00001D001927-MONOMER // MONOMERDQC-55302 // ZM00001D037487-MONOMER // ZM00001D031926-MONOMER // ZM00001D001924-MONOMER // ZM00001D026431-MONOMER // ZM00001D002564-MONOMER // MONOMERDQC-49184 // ZM00001D049926-MONOMER // ZM00001D002100-MONOMER // ZM00001D032223-MONOMER // MONOMERDQC-43307	ZM00001D032107 // ZM00001D011163 // ZM00001D052096 // ZM00001D050224 // ZM00001D018660 // ZM00001D051529 // ZM00001D032103 // ZM00001D027499 // ZM00001D048446 // ZM00001D027711 // ZM00001D015459 // ZM00001D032662 // ZM00001D052676 // ZM00001D040483 // ZM00001D007403 // ZM00001D052673 // ZM00001D013991 // ZM00001D052915 // ZM00001D006630 // ZM00001D044683 // ZM00001D034635 // ZM00001D016144 // ZM00001D018278 // ZM00001D012972 // ZM00001D045141 // ZM00001D052999 // ZM00001D033327 // ZM00001D026003 // ZM00001D001927 // ZM00001D027423 // ZM00001D037487 // ZM00001D031926 // ZM00001D001924 // ZM00001D026431 // ZM00001D002564 // ZM00001D029744 // ZM00001D049926 // ZM00001D002100 // ZM00001D032223 // ZM00001D001960	FLAVONOID-SYN	PROTON // MALONYL-COA // NADPH // OXYGEN-MOLECULE // 2-KETOGLUTARATE // COUMARATE // ATP	RXN-3142 // NARINGENIN-3-DIOXYGENASE-RXN // APIGNAR-RXN // NARINGENIN-CHALCONE-SYNTHASE-RXN // 4-COUMARATE--COA-LIGASE-RXN
PWY-6787	CO-A // P-COUMAROYL-COA // MALONYL-COA // CPD-20012 // CPD-431 // CPD1F-90 // DIHYDROKAEMPFEROL-CMPD // PROTON // NARINGENIN-CMPD // 5734-TETRAHYDROXYFLAVONE // CARBON-DIOXIDE // SUC // CPD-520 // CPD-474 // 2-KETOGLUTARATE // WATER // Ox-NADPH-Hemoprotein-Reductases // CPD-7214 // CPD-6994 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE	ZM00001D032662-MONOMER // ZM00001D052676-MONOMER // ZM00001D040483-MONOMER // ZM00001D007403-MONOMER // MONOMERDQC-55677 // ZM00001D013991-MONOMER // ZM00001D052915-MONOMER // ZM00001D006630-MONOMER // ZM00001D044683-MONOMER // MONOMERDQC-50968 // MONOMERDQC-50672 // ZM00001D018278-MONOMER // MONOMERDQC-43097 // ZM00001D052999-MONOMER // ZM00001D033327-MONOMER // ZM00001D026003-MONOMER // ZM00001D001927-MONOMER // MONOMERDQC-55302 // ZM00001D037487-MONOMER // ZM00001D031926-MONOMER // ZM00001D001924-MONOMER // ZM00001D026431-MONOMER // ZM00001D002564-MONOMER // MONOMERDQC-49184 // ZM00001D049926-MONOMER // ZM00001D002100-MONOMER // ZM00001D032223-MONOMER // MONOMERDQC-43307 // ZM00001D045141-MONOMER // ZM00001D028744-MONOMER // ZM00001D047744-MONOMER // ZM00001D018184-MONOMER // ZM00001D051664-MONOMER // ZM00001D030548-MONOMER // ZM00001D018181-MONOMER // MONOMERDQC-43515	ZM00001D032662 // ZM00001D052676 // ZM00001D040483 // ZM00001D007403 // ZM00001D052673 // ZM00001D013991 // ZM00001D052915 // ZM00001D006630 // ZM00001D044683 // ZM00001D034635 // ZM00001D016144 // ZM00001D018278 // ZM00001D012972 // ZM00001D052999 // ZM00001D033327 // ZM00001D026003 // ZM00001D001927 // ZM00001D027423 // ZM00001D037487 // ZM00001D031926 // ZM00001D001924 // ZM00001D026431 // ZM00001D002564 // ZM00001D029744 // ZM00001D049926 // ZM00001D002100 // ZM00001D032223 // ZM00001D001960 // ZM00001D045141 // ZM00001D028744 // ZM00001D047744 // ZM00001D018184 // ZM00001D051664 // ZM00001D030548 // ZM00001D018181 // ZM00001D045233	FLAVONOID-SYN	Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // 2-KETOGLUTARATE // P-COUMAROYL-COA // MALONYL-COA	RXN-7921 // RXN-527 // RXN-7775 // RXN-7687 // RXN-7652 // RXN1F-93 // NARINGENIN-3-DIOXYGENASE-RXN // RXN-7686 // APIGNAR-RXN // NARINGENIN-CHALCONE-SYNTHASE-RXN
PWY-7897	CPD-20011 // CPD-20010 // UDP // CPD-12575 // CPD-12655 // VITEXIN // ISOVITEXIN // CPD-20014 // CPD-20023 // CPD-20012 // PPI // AMP // COUMARATE // ATP // WATER // Ox-NADPH-Hemoprotein-Reductases // CPD-15074 // NARINGENIN-CMPD // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // CARBON-DIOXIDE // CO-A // PHLORETIN // MALONYL-COA // PROTON // NADPH // P-COUMAROYL-COA // CPD-12449 // NADP // CPD-20015 // CPD-15088	ZM00001D045788-MONOMER // ZM00001D045862-MONOMER // ZM00001D037382-MONOMER // ZM00001D037384-MONOMER // ZM00001D037383-MONOMER // ZM00001D006630-MONOMER // ZM00001D044683-MONOMER // MONOMERDQC-50968 // MONOMERDQC-50672 // ZM00001D018278-MONOMER // MONOMERDQC-43097 // ZM00001D032662-MONOMER // ZM00001D052676-MONOMER // ZM00001D040483-MONOMER // ZM00001D007403-MONOMER // MONOMERDQC-55677 // ZM00001D013991-MONOMER // ZM00001D052915-MONOMER // ZM00001D032107-MONOMER // ZM00001D011163-MONOMER // ZM00001D052096-MONOMER // MONOMERDQC-49533 // ZM00001D018660-MONOMER // MONOMERDQC-52267 // ZM00001D032103-MONOMER // ZM00001D027499-MONOMER // ZM00001D048446-MONOMER // MONOMERDQC-59943 // MONOMERDQC-60943	ZM00001D045788 // ZM00001D045862 // ZM00001D037382 // ZM00001D037384 // ZM00001D037383 // ZM00001D006630 // ZM00001D044683 // ZM00001D034635 // ZM00001D016144 // ZM00001D018278 // ZM00001D012972 // ZM00001D032662 // ZM00001D052676 // ZM00001D040483 // ZM00001D007403 // ZM00001D052673 // ZM00001D013991 // ZM00001D052915 // ZM00001D032107 // ZM00001D011163 // ZM00001D052096 // ZM00001D050224 // ZM00001D018660 // ZM00001D051529 // ZM00001D032103 // ZM00001D027499 // ZM00001D048446 // ZM00001D027711 // ZM00001D015459	FLAVONOID-SYN	NADPH // MALONYL-COA // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // COUMARATE // ATP // CPD-12575	RXN-18753 // RXN-11467 // RXN-11468 // RXN-14069 // 4-COUMARATE--COA-LIGASE-RXN // NARINGENIN-CHALCONE-SYNTHASE-RXN // APIGNAR-RXN // RXN-18730 // RXN-14076 // RXN-11686 // RXN-11684 // RXN-11685 // RXN-18727 // RXN-18725 // RXN-18724
PWY-3101	CPD-520 // CPD1F-90 // PROTON // DIHYDROKAEMPFEROL-CMPD // Ox-NADPH-Hemoprotein-Reductases // CPD-474 // Red-NADPH-Hemoprotein-Reductases // WATER // CARBON-DIOXIDE // SUC // MYRICETIN // CPD-7087 // 2-KETOGLUTARATE // OXYGEN-MOLECULE	ZM00001D029243-MONOMER // ZM00001D022075-MONOMER // ZM00001D005577-MONOMER // ZM00001D047279-MONOMER // ZM00001D032042-MONOMER // ZM00001D042679-MONOMER // ZM00001D053202-MONOMER // ZM00001D029526-MONOMER // ZM00001D008699-MONOMER // ZM00001D003741-MONOMER // ZM00001D017077-MONOMER // MONOMERDQC-48763 // ZM00001D020628-MONOMER // ZM00001D007918-MONOMER // ZM00001D018839-MONOMER // ZM00001D006193-MONOMER // ZM00001D010521-MONOMER // GDQC-106547-MONOMER // ZM00001D045141-MONOMER // ZM00001D028744-MONOMER // ZM00001D047744-MONOMER // ZM00001D018184-MONOMER // ZM00001D051664-MONOMER // ZM00001D030548-MONOMER // ZM00001D018181-MONOMER // MONOMERDQC-43515	ZM00001D029243 // ZM00001D022075 // ZM00001D005577 // ZM00001D047279 // ZM00001D032042 // ZM00001D042679 // ZM00001D053202 // ZM00001D029526 // ZM00001D008699 // ZM00001D003741 // ZM00001D017077 // ZM00001D005821 // ZM00001D020628 // ZM00001D007918 // ZM00001D018839 // ZM00001D006193 // ZM00001D010521 // GDQC-106547 // ZM00001D045141 // ZM00001D028744 // ZM00001D047744 // ZM00001D018184 // ZM00001D051664 // ZM00001D030548 // ZM00001D018181 // ZM00001D045233	FLAVONOL-SYN	2-KETOGLUTARATE // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // DIHYDROKAEMPFEROL-CMPD	RXN-8450 // RXN-13718 // RXN-7782 // RXN-12510 // RXN1F-93 // RXN-527 // RXN-525
PWY-2161	FORMATE // WATER // GLY // SER // THF-GLU-N // METHYLENE-THF-GLU-N // Pi // ADP // FORMYL-THF-GLU-N // GLT // ATP	ZM00001D020669-MONOMER // MONOMERDQC-45220 // ZM00001D002554-MONOMER // MONOMERDQC-47141 // ZM00001D049234-MONOMER // ZM00001D040457-MONOMER // ZM00001D007237-MONOMER // ZM00001D009738-MONOMER // MONOMERDQC-58762 // MONOMERDQC-43447 // MONOMERDQC-43595 // MONOMERDQC-47247 // MONOMERDQC-49860 // MONOMERDQC-57682	ZM00001D020669 // ZM00001D030859 // ZM00001D002554 // ZM00001D012247 // ZM00001D049234 // ZM00001D040457 // ZM00001D007237 // ZM00001D009738 // ZM00001D042661 // ZM00001D025317 // ZM00001D032529 // ZM00001D048514 // ZM00001D018733 // ZM00001D024612	Folate-Biosynthesis	GLT // ATP // SER // FORMATE	FORMYLTHFGLUSYNTH-RXN // RXN0-2921 // FOLYLPOLYGLUTAMATESYNTH-RXN // GLYOHMETRANS-RXN // FORMATETHFLIG-RXN
PWY-2161B-PMN	THF // THF-GLU-N // WATER // ADP // Pi // Folatepolyglutamate-n // GLT // ATP	MONOMERDQC-43379 // MONOMERDQC-47032 // MONOMERDQC-58221 // MONOMERDQC-43447 // MONOMERDQC-43595 // MONOMERDQC-47247 // MONOMERDQC-49860 // MONOMERDQC-57682	ZM00001D042075 // ZM00001D010744 // ZM00001D028402 // ZM00001D025317 // ZM00001D032529 // ZM00001D048514 // ZM00001D018733 // ZM00001D024612	Folate-Biosynthesis	ATP // THF-GLU-N // WATER	RXN-3742 // RXN-3741
PWY-3841	AMINOMETHYLDIHYDROLIPOYL-GCVH // DIHYDROLIPOYL-GCVH // PROTEIN-LIPOYLLYSINE // SER // CARBON-DIOXIDE // AMMONIUM // GLY // NADPH // NADP // FORMYL-THF-GLU-N // FORMATE // NADH // NAD // DIHYDROFOLATE-GLU-N // TMP // METHYLENE-THF-GLU-N // DUMP // Pi // ADP // ATP // PROTON // N5-Formyl-THF-Glu-N // 5-10-METHENYL-THF-GLU-N // WATER // THF-GLU-N // MET // HOMO-CYS // 5-METHYL-THF-GLU-N	MONOMERDQC-45682 // ZM00001D007196-MONOMER // ZM00001D022546-MONOMER // MONOMERDQC-45220 // ZM00001D002554-MONOMER // MONOMERDQC-47141 // ZM00001D049234-MONOMER // ZM00001D040457-MONOMER // ZM00001D007237-MONOMER // ZM00001D009738-MONOMER // MONOMERDQC-58762 // ZM00001D000064-MONOMER // ZM00001D015378-MONOMER // MONOMERDQC-55480 // ZM00001D019077-MONOMER // ZM00001D048974-MONOMER // ZM00001D047085-MONOMER // MONOMERDQC-46270 // MONOMERDQC-49917 // MONOMERDQC-60954 // ZM00001D020669-MONOMER // ZM00001D013002-MONOMER // MONOMERDQC-43689 // ZM00001D042247-MONOMER // ZM00001D012999-MONOMER // ZM00001D030396-MONOMER // MONOMERDQC-54960 // MONOMERDQC-57133 // ZM00001D050448-MONOMER // ZM00001D013786-MONOMER // ZM00001D006676-MONOMER // ZM00001D045527-MONOMER	ZM00001D003504 // ZM00001D007196 // ZM00001D022546 // ZM00001D030859 // ZM00001D002554 // ZM00001D012247 // ZM00001D049234 // ZM00001D040457 // ZM00001D007237 // ZM00001D009738 // ZM00001D042661 // ZM00001D000064 // ZM00001D015378 // ZM00001D053800 // ZM00001D019077 // ZM00001D048974 // ZM00001D047085 // ZM00001D010867 // ZM00001D053900 // ZM00001D005614 // ZM00001D020669 // ZM00001D013002 // ZM00001D034602 // ZM00001D042247 // ZM00001D012999 // ZM00001D030396 // ZM00001D007318 // ZM00001D049188 // ZM00001D050448 // ZM00001D013786 // ZM00001D006676 // ZM00001D045527	Folate-Transformations	HOMO-CYS // ATP // DUMP // FORMATE // SER	HOMOCYSMETB12-RXN // RXN-6321 // 5-FORMYL-THF-CYCLO-LIGASE-RXN // THYMIDYLATESYN-RXN // 1.5.1.20-RXN // FORMATETHFLIG-RXN // METHENYLTHFCYCLOHYDRO-RXN // METHYLENETHFDEHYDROG-NADP-RXN // GCVMULTI-RXN // GLYOHMETRANS-RXN // DIHYDROFOLATEREDUCT-RXN
